vcf_name	ID_Berk	NMFS_DNA_ID	BOX_ID	BOX_POSITION	Population	Concentration (ng/ul)	run_type
DPCh_plate1_A05_S5	CH_Plate1_5A	T144863	T1513	1A	Feather River Hatchery Fall	220	Fall
DPCh_plate1_A06_S6	CH_Plate1_6A	T144906	T1513	6D	Feather River Hatchery Fall	180	Fall
DPCh_plate1_A11_S11	CH_Plate1_11A	T145151	T1516	1A	Trinity River Hatchery Fall	116	Fall
DPCh_plate1_A12_S12	CH_Plate1_12A	T145192	T1516	6B	Trinity River Hatchery Fall	51	Fall
DPCh_plate1_B05_S17	CH_Plate1_5B	T144870	T1513	1H	Feather River Hatchery Fall	129	Fall
DPCh_plate1_B06_S18	CH_Plate1_6B	T144911	T1513	7A	Feather River Hatchery Fall	101	Fall
DPCh_plate1_B11_S23	CH_Plate1_11B	T145152	T1516	1B	Trinity River Hatchery Fall	69.2	Fall
DPCh_plate1_B12_S24	CH_Plate1_12B	T145193	T1516	6C	Trinity River Hatchery Fall	76	Fall
DPCh_plate1_C05_S29	CH_Plate1_5C	T144871	T1513	2A	Feather River Hatchery Fall	152	Fall
DPCh_plate1_C06_S30	CH_Plate1_6C	T144920	T1513	8B	Feather River Hatchery Fall	100	Fall
DPCh_plate1_C11_S35	CH_Plate1_11C	T145153	T1516	1C	Trinity River Hatchery Fall	62.6	Fall
DPCh_plate1_C12_S36	CH_Plate1_12C	T145200	T1516	7B	Trinity River Hatchery Fall	58.8	Fall
DPCh_plate1_D05_S41	CH_Plate1_5D	T144879	T1513	3A	Feather River Hatchery Fall	101	Fall
DPCh_plate1_D06_S42	CH_Plate1_6D	T144924	T1513	8F	Feather River Hatchery Fall	144	Fall
DPCh_plate1_D11_S47	CH_Plate1_11D	T145163	T1516	2E	Trinity River Hatchery Fall	56.2	Fall
DPCh_plate1_D12_S48	CH_Plate1_12D	T145214	T1516	8H	Trinity River Hatchery Fall	55.2	Fall
DPCh_plate1_E05_S53	CH_Plate1_5E	T144893	T1513	4G	Feather River Hatchery Fall	131	Fall
DPCh_plate1_E06_S54	CH_Plate1_6E	T144934	T1513	9H	Feather River Hatchery Fall	146	Fall
DPCh_plate1_E11_S59	CH_Plate1_11E	T145167	T1516	3A	Trinity River Hatchery Fall	51.6	Fall
DPCh_plate1_E12_S60	CH_Plate1_12E	T145218	T1516	9D	Trinity River Hatchery Fall	48.8	Fall
DPCh_plate1_F05_S65	CH_Plate1_5F	T144896	T1513	5B	Feather River Hatchery Fall	89	Fall
DPCh_plate1_F06_S66	CH_Plate1_6F	T144951	T1513	12A	Feather River Hatchery Fall	119	Fall
DPCh_plate1_F11_S71	CH_Plate1_11F	T145171	T1516	3E	Trinity River Hatchery Fall	85.8	Fall
DPCh_plate1_F12_S72	CH_Plate1_12F	T145241	T1516	12C	Trinity River Hatchery Fall	74.6	Fall
DPCh_plate1_G05_S77	CH_Plate1_5G	T144897	T1513	5C	Feather River Hatchery Fall	114	Fall
DPCh_plate1_G06_S78	CH_Plate1_6G	T144952	T1513	12B	Feather River Hatchery Fall	116	Fall
DPCh_plate1_G11_S83	CH_Plate1_11G	T145189	T1516	5G	Trinity River Hatchery Fall	44.4	Fall
DPCh_plate1_G12_S84	CH_Plate1_12G	T145242	T1516	12D	Trinity River Hatchery Fall	69.4	Fall
DPCh_plate1_H05_S89	CH_Plate1_5H	T144902	T1513	5H	Feather River Hatchery Fall	166	Fall
DPCh_plate1_H06_S90	CH_Plate1_6H	T144958	T1513	12H	Feather River Hatchery Fall	83.4	Fall
DPCh_plate1_H11_S95	CH_Plate1_11H	T145190	T1516	5H	Trinity River Hatchery Fall	49.8	Fall
DPCh_plate1_H12_S96	CH_Plate1_12H	T145243	T1516	12E	Trinity River Hatchery Fall	52.4	Fall
